open_trade_id,setup_tag,score,notes,ref_open_date,ref_open_time,ref_underlying,ref_direction,ref_pnl_usd,ref_round_trips
1216416114,setup_a,,,2026/4/22,9:56:05,MES,LONG,375.10,1
1216857749,setup_a,,,2026/4/23,9:50:42,MNQ,LONG,1.04,1
1216875621,setup_a,,,2026/4/23,10:06:10,MNQ,LONG,5.04,1
1217935827,setup_a,,,2026/4/27,11:15:02,MES,SHORT,-574.90,1
1218844022,setup_a,,,2026/4/29,13:10:32,MES,LONG,337.60,1
1219802164,setup_a,,,2026/5/1,11:50:30,MES,LONG,-537.40,1
1220906273,setup_b,,,2026/5/6,0:41:33,M6B,LONG,1167.20,2
1221114920,setup_a,,,2026/5/6,10:01:00,MNQ,LONG,911.04,1
1221572089,setup_a,,,2026/5/7,10:30:08,MES,LONG,350.10,1
1222106084,setup_a,,,2026/5/8,11:27:56,MES,LONG,25.10,1
1222117736,setup_a,,,2026/5/8,11:46:15,MES,LONG,-12.40,1
1221839396,setup_b,,,2026/5/8,18:00:00,MHG,LONG,10943.10,1
1223151580,setup_a,,,2026/5/12,13:12:19,MES,LONG,450.10,1
1223493375,setup_a,,,2026/5/13,10:05:30,MES,LONG,500.10,1
1224541428,setup_a,,,2026/5/15,10:46:44,MES,LONG,-887.40,1
1225710289,setup_a,,,2026/5/19,11:01:42,MES,LONG,12.60,1
1226697040,setup_a,,,2026/5/21,11:00:31,MES,LONG,-762.40,1
1226739468,setup_a,,,2026/5/21,12:00:04,MES,LONG,887.60,1
1227149516,setup_a,,,2026/5/22,10:33:40,MES,LONG,687.60,1
1227784342,setup_a,,,2026/5/26,10:37:23,MES,LONG,-487.40,1
1227864204,setup_a,,,2026/5/26,12:24:27,MES,LONG,0.10,1
1227909440,setup_a,,,2026/5/26,14:05:59,MES,LONG,262.60,1
